from,to,relation
gewe,alwe,11
gewe,chan,5
gewe,chan,1
gewe,unpa,9
gewe,fr,8
gewe,wert,2
gewe,chca,1
gewe,chra,1
kegr,cita,1
kegr,cita,2
kegr,cita_se,2
kegr,haun,9
kegr,kenn,4
kegr,us,8
kegr,hsnh,3
kegr,bmgf,3
kegr,comm,7
kegr,thee,2
thee,jiwa,2
thee,rowa,2
thee,alwa,2
kegr,repu,4
masc,bmgf,3
masc,jebe,13
masc,amaz,5
masc,prun,9
masc,us,8
masc,desh,3
theg,masc,7
theg,biga,2
theg,wabu,2
theg,mazu,7
theg,elmu,7
theg,lael,7
thpe,nyse,5
thpe,us,8
thpe,ibin,1
thpe,ibin,2
ibin,onec,5
ibin,iexi,3
ibin,nasd,3
thpe,hu,8
thpe,nyun,9
rewu,wuer,1
rewu,de,8
rewu,unka,3
rewu,neua,7
rewu,kuns,4
widi,unel,9
widi,nete,1
widi,nete,2
widi,syba,3
syba,saps,3
widi,elmu,10
widi,hang,2
nete,hang,3
widi,chte,3
widi,cn,8
giap,iste,9
giap,raap,12
giap,medi,1
raap,medi,5
giap,medi,2
raap,medi,2
medi,mscc,3
mscc,raap,2
mscc,giap,2
medi,medw,3
raap,medw,6
giap,medw,6
medi,term,3
raap,ch,8
giap,ch,8
raap,it,8
giap,it,8
saji,bhar,7
saji,opji,6
saji,in,8
saji,jsws,5
jsws,jswi,3
chzh,ca,8
chzh,bina,2
chzh,toky,3
chzh,bloo_tr,3
bloo_tr,bloo,3
chzh,bloc,3
chzh,twit,4
chzh,elmu,10
lael,twit,4
lael,elmu,10
morg,elmu,6
mits,elmu,6
chzh,hama,4
bina,hydr,3
bina,rosf,3
chzh,mcun,9
mama,at,8
mama,fasa,9
mama,redb,1
klku,de,8
klku,kueh,1
klku,kueh,2
klku,hapa,5
klku,luft,5
cohu,cn,8
cohu,unwi,9
cohu,micr,3
cohu,goog,3
cohu,pddh,2
cohu,temu,2
stsc,us,8
stsc,haun,9
stsc,black,2
stsc,black,1
stsc,lema,3
jama,us,8
jama,brco,9
jama,mars,3
jama,joma,11
jama,leag,4
joma,us,8
joma,mars,3
joma,yaun,9
disc,de,8
disc,schw,2
disc,schw,1
disc,dist,2
lika,hk,8
lika,ckhu,2
lika,ross,5
shna,id,8
shna,psgc,9
shna,hclt,2
alwe,fr,8
alwe,chan,1
alwe,wert,2
alwe,chca,1
alwe,chra,1
alwa,trco,9
alwa,us,8
alwa,walm,1
dath,osmi,2
dath,seco,9
dath,ca,8
juko,us,1
juko,unce,9
juko,koch,1
juko,us,8
zhsh,nong,2
zhsh,zhra,9
zhsh,cn,8
chko,us,8
chko,mate,9
chko,koch,1
chko,juko,11
gife,it,8
gife,leco,9
gife,ferr,1
prpa,id,8
prpa,bari,1
zhyi,ch,8
zhyi,naun,9
zhyi,byte,2
zhyi,tikt,2
byte,tikt,2
taya,jp,8
taya,waun,9
taya,uniq,2
phkn,us,8
phkn,stun,9
phkn,nike,2
phkn,laik,2
alwa,jiwa,11
alwa,rowa,11
chko,wabu,3
zhyi,cohu,3
byte,nete,3
taya,fast,2
fast,uniq,2
sebr,goog,2
sebr,us,8
sebr,stun,9
sebr,lapa,3
sebr,alph,3
goog,alph,3
mibl,us,8
mibl,habu,9
mibl,joho,9
mibl,bloo,2
mibl,newy,3
mibl,salo,3
mibl,bloop,2
mibl,joho,4
bloo,us,8
bloop,us,8
salo,us,8
amor,gala,9
amor,es,8
gala,es,8
amor,indi,2
amor,indi,1
amor,pont,4
amor,pont,2
amor,aman,2
casl,mx,8
casl,inmo,2
casl,inmo,1
casl,inmo,5
casl,unna,9
unna,mx,8
inmo,mx,8
casl,amer,2
casl,telm,1
telm,amer,3
casl,appl,5
casl,sent,5
frbe,fr,8
frbe,lore,5
lore,fr,8
frbe,lore,1
mide,us,8
mide,dell,2
mide,dell,5
mide,dell,1
dell,us,8
mide,misu,4
misu,us,8
mide,worl,7
gaad,adan,2
gaad,in,8
adan,in,8
gaad,adan,1
adan,adgr,3
gaad,adgr,2
gaad,namo,10
namo,in,3
jiwa,us,8
jiwa,unar,9
jiwa,walm,3
jiwa,walt,3
jiwa,wafo,4
jiwa,copu,3
jiwa,arve,3
jiwa,arve,5
rowa,us,8
rowa,coun,9
rowa,conn,3
rowa,walm,3
rowa,wafo,4
rowa,denv,1
rowa,denv,5
rowa,denv,4
jehu,us,8
jehu,stun,9
jehu,lsil,3
jehu,nvid,2
jehu,chma,3
jehu,cupr,3
jehu,adva,3
adva,us,8
nvid,us,8
bear,fr,8
bear,ecpo,9
bear,lvmh,1
bear,lvmh,5
bear,grou,1
bear,lese,1
bear,chri,1
bear,chev,1
bear,tiffa,1
bear,give,1
bear,chaum,1
bear,seph,1
bear,moet,1
bear,henn,1
bear,fent,1
bear,belm,1
bear,loew,1
bear,fend,1
bear,netf,5
bear,gewe,10
bear,frbe,10
bear,reji,5
elmu,us,8
elmu,unpe,9
elmu,spac,2
elmu,spac,1
elmu,tesl,1
elmu,tesl,5
elmu,twit,1
elmu,lael,3
elmu,neur,2
elmu,neur,1
elmu,payp,3
elmu,sebr,10
elmu,biga,10
elmu,repu,4
jebe,us,8
jebe,prun,9
jebe,wash,1
jebe,bezo,1
jebe,bezo,5
jebe,masc,13
jebe,blue,2
jebe,amaz,2
jebe,amaz,5
jebe,theg,7
jebe,mibl,10
mazu,us,8
mazu,haun,9
mazu,meta,1
mazu,meta,5
mazu,meta,2
mazu,lapa,10
mazu,biga,10
lael,us,8
lael,orco,1
lael,orco,2
lael,elmu,3
lael,stba,10
lael,repu,4
wabu,us,8
wabu,coun,9
wabu,berk,1
wabu,bmgf,4
wabu,biga,10
wabu,amph,7
wabu,theg,7
wabu,mibl,10
wabu,mazu,10
wabu,augu,7
wabu,bmgf,2
wabu,bmgf,1
biga,us,8
biga,haun,9
biga,micro,2
biga,bmgf,1
biga,wabu,10
biga,stba,10
biga,mega,13
biga,theg,7
biga,berk,5
biga,jebe,10
biga,mazu,4
biga,augu,7
stba,us,8
stba,haun,9
stba,unor,4
stba,biga,10
stba,bagr,2
stba,losa,1
stba,jebe,10
stba,lael,10
muam,in,8
muam,unmu,9
muam,reli,1
muam,haun,9
muam,refo,1
muam,reji,2
muam,mumb,1
muam,gaad,10
lapa,us,8
lapa,stun,9
lapa,goog,2
lapa,sebr,3
lapa,elmu,10
lapa,theg,7
lapa,biga,10
lapa,alph,3
dath,thom,1
zhsh,beji,2
jehu,nvid,1
frbe,gewe,3
frbe,alwe,3
frbe,ther,5
gewe,ther,5
alwe,ther,5
mibl,theg,7
notr,bear,4
acti,gewe,4
kegr,haun,4
thpe,poly,2
thpe,boys,4
mibl,boys,4
thpe,repu,4
stsc,repu,4
rewu,stif,4
rewu,spec,4
saji,savi,4
raap,mscf,4
giap,mscf,4
alwa,alic,4
dath,thfo,4
dath,wood,4
dath,roya,4
dath,habi,4
juko,metr,4
juko,smit,4
juko,linc,4
juko,memo,4
chko,ampr,4
gife,ferf,4
gife,unic,4
prpa,envi,4
prpa,disa,4
zhyi,chin,4
taya,fuku,4
alwa,wafo,2
alwa,alic,2
gife,ferf,1
klku,kust,4
stsc,scsc,4
cohu,star,4
cohu,star,2
jama,waop,4
lika,lifo,4
lika,lifo,2
shna,shfo,4
shna,shfo,2
elmu,trum,2
elmu,musk,2
jebe,bezo,2
mazu,chzu,2
mazu,zuck,2
lael,elli,2
wabu,glide,2
sebr,serg,1
sebr,serg,4
sebr,wiki,4
sebr,fran,4
sebr,rewi,4
amor,aman,1
amor,aman,4
amor,cari,4
amor,brea,4
amor,heal,4
jiwa,unar,4
rowa,robw,1
rowa,robw,4
frbe,notr,4
frbe,frfo,1
frbe,frfo,4
jehu,unor,4
jehu,stun,4
jehu,oreg,4
casl,telmt,1
casl,telmt,4
casl,carl,1
casl,carl,4
casl,mx,4
mide,mich,1
mide,mich,2
gaad,gaut,1
gaad,gaut,4
alwa,whol,4
alwa,crys,4
alwa,wafo,4
alwa,wafo,2
